_meta.locale,en,ar,de-DE,es-419,es-ES,fr-FR,hi-IN,id,it-IT,ja-JP,km,ko-KR,pl-PL,pt-BR,vi-VN,zh-CN,ru-RU,uk-UA,tr
general.font_weight.light,Light,ضوء,Licht,Luz,Luz,Lumière,रोशनी,Lampu,Leggero,ライト,ពន្លឺ,얇은,Światło,Luz,Ánh sáng,细体,Тонкий,Легкий,İnce
general.font_weight.medium,Medium,واسطة,Medium,Medio,Medio,Moyen,मध्यम,Sedang,Medio,中,មធ្យម,중간,Średni,Médio,Trung bình,中等,Средний,Середній,Orta
general.font_weight.normal,Normal,طبيعي,Normal,Normal,Normal,Normale,सामान्य,Normal,Normale,普通,ធម្មតា,정상,Normalna,Normal,Bình thường,常规,Нормальный,Звичайний,Normal
general.font_weight.semi_bold,Semi-bold,شبه جريئة,Halbfett,Semi-negrita,Semi-negrita,Semi-gras,अर्ध-बोल्ड,Setengah tebal,Semi-audace,セミボールド,ពាក់កណ្តាលដិត,약간 굵은,Półpogrubione,Semi-negrito,Nửa đậm,中粗,Полужирный,Напівжирний,Yarı kalın
general.font_weight.thin,Thin,رفيع,Dünn,Delgado,Delgado,Mince,पतला,Tipis,Magro,極細,ស្តើង,아주 얇은,Cienki,Afinar,Gầy,特细,Ультра-Тонкий,Тонкий,İnce
general.gallery,Gallery,معرض الصور,Galerie,Galería,Galería,Galerie,गैलरी,Galeri,Galleria,ギャラリー,វិចិត្រសាល,갱도,Galeria,Galeria,Phòng trưng bày,画廊,Галерея,Каталог,Galeri
general.general,General,عام,Allgemein,General,General,Général,सामान्य,Umum,Generale,一般的な,ទូទៅ,일반적인,Ogólny,Em geral,Tổng quan,一般的,Общий,Загальне,Genel
general.icons_credit,Icons by {ICON_LINK},الأيقونات بواسطة {ICON_LINK},Symbole von {ICON_LINK},Iconos de {ICON_LINK},Iconos de {ICON_LINK},Icônes par {ICON_LINK},{ICON_LINK} के आइकन,Ikon oleh {ICON_LINK},Icone di {ICON_LINK},アイコンは{ICON_LINK}によるものです,រូបតំណាងដោយ {ICON_LINK},{ICON_LINK}의 아이콘,Ikony od {ICON_LINK},Ícones por {ICON_LINK},Biểu tượng của {ICON_LINK},图标由 {ICON_LINK} 制作,Иконки взяты из {ICON_LINK},Іконки з {ICON_LINK},{ICON_LINK} tarafından simgeler
general.import,Import,استيراد البيانات,Importdaten,Importar datos,Importar datos,Données d'importation,डेटा आयात करें,Impor Data,Importa dati,データのインポート,នាំចូលទិន្នន័យ,데이터 가져오기,Importuj dane,Importar dados,Nhập dữ liệu,导入数据,Importdaten,Імпорт,İçe aktar
general.mood,Mood,مزاج,Stimmung,Ánimo,Ánimo,Humeur,मनोदशा,Suasana hati,Umore,気分,អារម្មណ៍,분위기,Nastrój,Humor,Tâm trạng,情绪,Настроение,Настрій,Mod
general.my_templates,My Templates,قوالبي,Meine Vorlagen,Mis plantillas,Mis plantillas,Mes modèles,मेरे टेम्पलेट्स,Template Saya,I miei modelli,マイテンプレート,គំរូរបស់ខ្ញុំ,내 템플릿,Moje szablony,Meus Modelos,Mẫu của tôi,我的模板,Мои предки,Мої шаблони,Şablonlarım
general.na,N/A,لا يوجد,N / A,N / A,N / A,N / A,एन/ए,T/A,N / A,該当なし,គ្មាន,해당 없음,Nie dotyczy,N / D,không áp dụng,不适用,N/A,N/A,Yok
general.new,New,جديد,Neu,Nuevo,Nuevo,Nouveau,नया,Baru,Nuovo,新規作成,ថ្មី,새로 만들기,Nowy,Novo,Mới,新建,Новый шаблон,Новий,Yeni
general.no_backup_found,No backups found.,لم يتم العثور على نسخ احتياطية.,Keine Backups gefunden.,No se encontraron copias de seguridad.,No se encontraron copias de seguridad.,Aucune sauvegarde trouvée.,कोई बैकअप नहीं मिला.,Tidak ada cadangan yang ditemukan.,Nessun backup trovato.,バックアップがありません,រកមិនឃើញការបម្រុងទុកទេ។,백업이 없어요,Nie znaleziono kopii zapasowych.,Nenhum backup encontrado.,Không tìm thấy bản sao lưu nào.,未找到备份。,Не найдено бэкапов.,Резервних копій не знайдено.,Yedekleme bulunamadı.
general.no_story_yet,No stories yet.,لا توجد قصص حتى الآن.,Noch keine Geschichten.,No hay historias todavía,No hay historias todavía,Aucune histoire pour le moment.,अभी तक कोई कहानी नहीं.,Belum ada cerita.,Ancora nessuna storia.,まだストーリーはありません。,មិនទាន់មានរឿងទេ។,아직 스토리가 없습니다.,Brak historii.,Ainda não há histórias.,Chưa có câu chuyện nào.,暂无故事。,Пока нет историй.,Немає жодних розповідей.,Henüz hikaye yok.
general.onboard_page,Onboard Page,صفحة على متن الطائرة,Onboard-Seite,Página integrada,Página integrada,Page intégrée,ऑनबोर्ड पेज,Halaman Masuk,Pagina integrata,スタートガイド画面,ទំព័រនៅលើយន្តហោះ,시작 안내 화면,Strona pokładowa,Página integrada,Trang trên tàu,欢迎页,Главная страница,Вбудована сторінка,Yerleşik Sayfa
general.optional,Optional,خياري,Optional,Opcional,Opcional,Facultatif,वैकल्पिक,Opsional,Opzionale,オプション,ជាជម្រើស,선택 사항,Fakultatywny,Opcional,Không bắt buộc,可选,Необязательный,Необов'язково,İsteğe bağlı
general.page_layout.grid,Grid,شبكة,Netz,Red,Red,Grille,ग्रिड,Jaringan,Griglia,グリッド,ក្រឡាចត្រង្គ,그리드,Siatka,Grade,Lưới,网格,Сетка,Сітка,Izgara
general.page_layout.list,List,قائمة,Liste,Lista,Lista,Liste,सूची,Daftar,Lista,リスト,បញ្ជី,목록,Lista,Lista,Danh sách,列表,Список,Список,Liste
general.page_layout.pages,Pages,الصفحات,Seiten,Páginas,Páginas,Pages,पृष्ठों,Halaman,Pagine,ページ,ទំព័រ,페이지,Strony,Páginas,Các trang,页面,Страницы,Сторінки,Sayfalar
general.page_layout.title,Page Layout,تخطيط الصفحة,Seitenlayout,Diseño de página,Diseño de página,Mise en page,पेज लेआउट,Tata Letak Halaman,Layout di pagina,ページレイアウト,ប្លង់ទំព័រ,페이지 레이아웃,Układ strony,Layout da página,Bố cục trang,页面布局,Макет страницы,Макет сторінки,Sayfa Düzeni
general.path_type.archives,Archives,أرشيف,Archiv,Archivo,Archivo,Archives,अभिलेखागार,Arsip,Archivi,アーカイブ,បណ្ណសារ,보관함,Archiwa,Arquivos,Lưu trữ,归档,Архив,Архіви,Arşivler
general.path_type.bins,Bins,صناديق,Mülleimer,Contenedores,Contenedores,Bacs,डिब्बे,Tempat sampah,Contenitori,ゴミ箱,ធុងសំរាម,휴지통,Pojemniki,Caixas,Thùng,垃圾箱,Корзина,Кошики,Çöp kutusu
general.path_type.docs,Docs,المستندات,Dokumente,Documentos,Documentos,Documents,डॉक्स,dokumen,Documenti,ドキュメント,ឯកសារ,문서,Dokumenty,Documentos,Tài liệu,文档,Документы,Документи,Belgeler
general.pin,PIN code,رمز التعريف الشخصي,PIN-Code,código PIN,código PIN,Code PIN,पिन कोड,kode PIN,Codice PIN,PINコード,កូដ PIN,PIN 코드,Kod PIN,Código PIN,mã PIN,PIN 码,PIN-код,PIN-код,PIN kodu
general.pin_unlock_title.confirm_your_pin,Confirm your PIN,قم بتأكيد رقم التعريف الشخصي الخاص بك,Bestätigen Sie Ihre PIN,Confirma tu PIN,Confirma tu PIN,Confirmez votre code PIN,अपने पिन की पुष्टि करें,Konfirmasikan PIN Anda,Conferma il tuo PIN,PINコードを確認してください,បញ្ជាក់កូដ PIN របស់អ្នក,PIN 코드를 확인해주세요,Potwierdź swój PIN,Confirme seu PIN,Xác nhận mã PIN của bạn,确认你的 PIN 码,Подтвердите PIN-код,Підтвердіть свій PIN-код,PIN kodunuzu onaylayın.
general.pin_unlock_title.enter_your_pin,Enter your PIN,أدخل رقم التعريف الشخصي الخاص بك,Geben Sie Ihre PIN ein,Introduce tu PIN,Introduce tu PIN,Entrez votre code PIN,अपना पिन दर्ज करें,Masukkan PIN Anda,Inserisci il tuo PIN,PINコードを入力してください,បញ្ចូលកូដ PIN របស់អ្នក,PIN 코드를 입력해주세요,Wpisz swój PIN,Digite seu PIN,Nhập mã PIN của bạn,"输入你的 PIN 码
",Веедите PIN-код,Введіть свій PIN-код,PIN kodunuzu girin
general.pin_unlock_title.incorrect_pin,Incorrect PIN,رقم التعريف الشخصي غير صحيح,Falsche PIN,PIN incorrecto,PIN incorrecto,Code PIN incorrect,ग़लत पिन,PIN salah,PIN errato,PINコードが正しくありません,កូដ PIN មិនត្រឹមត្រូវ,PIN 코드가 올바르지 않아요,Nieprawidłowy PIN,PIN incorreto,Mã PIN không chính xác,PIN 码不正确,Неправильный PIN-код,Неправильний PIN-код,Yanlış PIN
general.pin_unlock_title.must_be_4_or_6_digits,PIN must be 4 or 6 digits,يجب أن يتكون رقم التعريف الشخصي من 4 أو 6 أرقام,Die PIN muss 4 oder 6 Ziffern lang sein,El PIN debe tener 4 o 6 dígitos,El PIN debe tener 4 o 6 dígitos,Le code PIN doit être composé de 4 ou 6 chiffres,पिन 4 या 6 अंकों का होना चाहिए,PIN harus 4 atau 6 digit,Il PIN deve essere composto da 4 o 6 cifre,PIN は 4 桁または 6 桁である必要があります,កូដ PIN ត្រូវតែមាន 4 ឬ 6 ខ្ទង់,PIN 코드는 4자리 또는 6자리여야 해요,PIN musi składać się z 4 lub 6 cyfr,O PIN deve ter 4 ou 6 dígitos,Mã PIN phải có 4 hoặc 6 chữ số,PIN 码必须为 4 或 6 位数字,PIN-код должен содержать около 4-6 цифр,PIN-код повинен складатися з 4 або 6 цифр,PIN kodu 4 veya 6 rakamdan oluşmalıdır.
general.preferences,Preferences,التفضيلات,Präferenzen,Preferencias,Preferencias,Préférences,प्राथमिकताएँ,Preferensi,Preferenze,設定,ចំណូលចិត្ត,설정,Preferencje,Preferências,Tùy chọn,偏好设置,Параметры,Налаштування,Tercihler
general.preview,Preview,معاينة,Vorschau,Avance,Avance,Aperçu,पूर्व दर्शन,Pratinjau,Anteprima,プレビュー,មើលជាមុន,시사,Zapowiedź,Pré-visualização,Xem trước,预览,Предварительный просмотр,Попередній перегляд,Önizleme
general.previous_stories,Previous Stories,القصص السابقة,Vorherige Geschichten,Historias anteriores,Historias anteriores,Histoires précédentes,पिछली कहानियाँ,Cerita Sebelumnya,Storie precedenti,以前のストーリー,រឿងពីមុន,이전 스토리,Poprzednie historie,Histórias anteriores,Những câu chuyện trước đó,以前的故事,Предыдущие Истории,Попередні розповіді,Önceki Hikayeler
general.privacy_policy,Privacy Policy,سياسة الخصوصية,Datenschutzrichtlinie,política de privacidad,política de privacidad,politique de confidentialité,गोपनीयता नीति,Kebijakan Privasi,politica sulla riservatezza,プライバシーポリシー,គោលការណ៍ឯកជនភាព,개인정보 처리방침,Polityka prywatności,política de Privacidade,Chính sách bảo mật,隐私政策,Политика Конфедициальности,Політика конфіденційності,Gizlilik Politikası
general.reach_us_description,"Have feedback, a feature idea, or found a bug? Reach out or join the community!",هل لديك ملاحظات، أو فكرة مميزة، أو وجدتَ خللًا؟ تواصل معنا أو انضم إلى مجتمعنا!,"Haben Sie Feedback, eine Idee für eine Funktion oder einen Fehler gefunden? Melden Sie sich oder treten Sie der Community bei!","¿Tienes comentarios, una idea para una función o has encontrado un error? ¡Contáctanos o únete a la comunidad!","¿Tienes comentarios, una idea para una función o has encontrado un error? ¡Contáctanos o únete a la comunidad!","Vous avez des commentaires, une idée de fonctionnalité ou un bug ? Contactez-nous ou rejoignez la communauté !","क्या आपके पास कोई सुझाव है, कोई फीचर आइडिया है, या कोई बग मिला है? संपर्क करें या समुदाय में शामिल हों!","Punya masukan, ide fitur, atau menemukan bug? Hubungi kami atau bergabunglah dengan komunitas!","Hai feedback, idee per nuove funzionalità o hai trovato un bug? Contattaci o unisciti alla community!",フィードバック、機能のアイデア、バグの発見がありましたら、ぜひご連絡いただくか、コミュニティにご参加ください。,មានមតិកែលម្អ គំនិតលក្ខណៈពិសេស ឬរកឃើញកំហុស? ទាក់ទងឬចូលរួមសហគមន៍!,피드백이나 기능 아이디어가 있으시거나 버그를 발견하셨나요? 커뮤니티에 연락하시거나 참여해 주세요!,"Masz opinię, pomysł na funkcję lub znalazłeś błąd? Skontaktuj się z nami lub dołącz do społeczności!","Tem algum feedback, uma ideia para um recurso ou encontrou um bug? Entre em contato ou junte-se à comunidade!","Bạn có phản hồi, ý tưởng về tính năng hoặc tìm thấy lỗi không? Hãy liên hệ hoặc tham gia cộng đồng!",有任何反馈、功能建议或发现 bug？请联系我们或加入社区！,"Хотите оставить отзыв, есть идея о новом функционале или вы нашли баг? Присоединяйтесь к Сообществу!","Маєте відгуки, ідеї щодо функцій або знайшли помилку? Зв'яжіться з нами або приєднайтеся до спільноти!","Geri bildiriminiz, özellik öneriniz veya bulduğunuz bir hata mı var? Bizimle iletişime geçin veya topluluğa katılın!"
general.read_our_privacy_policy,Read our Privacy & Policy,اقرأ الخصوصية والسياسة الخاصة بنا,Lesen Sie unsere Datenschutzbestimmungen,Lea nuestra Política de Privacidad y Política,Lea nuestra Política de Privacidad y Política,Lisez notre politique de confidentialité et notre politique,हमारी गोपनीयता और नीति पढ़ें,Baca Privasi & Kebijakan kami,Leggi la nostra Privacy e Politica,プライバシーポリシーを確認してください,សូមអានគោលការណ៍ និងឯកជនភាពរបស់យើង,개인정보 처리방침을 읽어보세요,Przeczytaj naszą Prywatność i Politykę,Leia nossa Privacidade e Política,Đọc Chính sách & Quyền riêng tư của chúng tôi,阅读我们的隐私政策,Прочесть нашу Политику Конфедициальности,Ознайомтеся з нашою Політикою конфіденційності,Gizlilik Politikamızı okuyun.
general.recently,Recently,حديثاً,Kürzlich,Recientemente,Recientemente,Récemment,हाल ही में,Baru-baru ini,Recentemente,最近,ថ្មីៗនេះ,최근,Ostatnio,Recentemente,Gần đây,最近,Недавнее,Нещодавно,Son zamanlarda
general.recording,Recording...,تسجيل...,Aufnahme...,Grabación...,Grabación...,Enregistrement...,रिकॉर्डिंग...,Rekaman...,Registrazione...,録音中...,កំពុងថត...,녹음...,Nagranie...,Gravação...,Đang ghi âm...,记录...,Идет запись...,Запис...,Kaydediliyor...
general.required,Required,مطلوب,Erforderlich,Requerido,Requerido,Requis,आवश्यक,Diperlukan,Necessario,必須項目,ទាមទារ,필수 항목,Wymagany,Obrigatório,Yêu cầu,必须,Требуется,Необхідно,Gerekli
general.review,Review,مراجعة,Rezension,Revisar,Revisar,Revoir,समीक्षा,Tinjauan,Revisione,レビュー,ពិនិត្យឡើងវិញ,검토,Recenzja,Análise,Ôn tập,审查,Обзор,Огляд,Gözden geçirmek
general.security_question.city_or_town_your_parent_met,What city or town did your parents meet in?,في أي مدينة أو بلدة التقى والديك؟,In welcher Stadt haben sich deine Eltern kennengelernt?,¿En qué ciudad o pueblo se conocieron tus padres?,¿En qué ciudad o pueblo se conocieron tus padres?,Dans quelle ville ou village vos parents se sont-ils rencontrés ?,आपके माता-पिता किस शहर या कस्बे में मिले थे?,Di kota mana orang tuamu bertemu?,In quale città o paese si sono conosciuti i tuoi genitori?,あなたの両親はどの都市または町で会いましたか?,តើ​ឪពុក​ម្តាយ​របស់​អ្នក​បាន​ជួប​គ្នា​នៅ​ទីក្រុង​ណា?,부모님이 처음 만난 도시나 마을은 어디인가요?,W jakim mieście lub miasteczku poznali się Twoi rodzice?,Em que cidade ou vila seus pais se conheceram?,Bố mẹ bạn gặp nhau ở thành phố hay thị trấn nào?,你的父母是在哪个城市认识的？,В каком месте ваши родители встретились впервые?,У якому місті чи селищі познайомилися ваші батьки?,Anne ve babanız hangi şehirde veya kasabada tanıştılar?
general.security_question.city_or_town_your_were_born,What city or town were you born in?,في أي مدينة أو بلدة ولدت؟,In welcher Stadt oder Ortschaft wurden Sie geboren?,¿En qué ciudad o pueblo naciste?,¿En qué ciudad o pueblo naciste?,Dans quelle ville ou village êtes-vous né ?,आपका जन्म किस शहर या कस्बे में हुआ था?,Di kota atau kota manakah Anda dilahirkan?,In quale città o paese sei nato?,あなたはどこの市または町で生まれましたか?,តើអ្នកកើតនៅទីក្រុងណា?,태어난 도시나 마을은 어디인가요?,W jakim mieście lub miejscowości się urodziłeś?,Em que cidade ou vila você nasceu?,Bạn sinh ra ở thành phố hay thị trấn nào?,你出生在哪个城市？,В каком месте вы родились?,У якому місті чи селищі ви народилися?,Hangi şehirde veya kasabada doğdunuz?
general.security_question.favorite_childhood_friend,What was the name of your favorite childhood friend?,ما هو اسم صديق طفولتك المفضل؟,Wie hieß Ihr Lieblingsfreund aus Kindertagen?,¿Cómo se llamaba tu amigo favorito de la infancia?,¿Cómo se llamaba tu amigo favorito de la infancia?,Quel était le nom de votre ami d’enfance préféré ?,आपके पसंदीदा बचपन के दोस्त का नाम क्या था?,Siapa nama teman masa kecil favoritmu?,Come si chiamava il tuo amico d'infanzia preferito?,あなたの大好きな幼なじみの名前は何ですか?,តើ​មិត្ត​ភក្តិ​វ័យ​ក្មេង​របស់​អ្នក​ឈ្មោះ​អ្វី?,가장 좋아했던 어린 시절 친구 이름은 무엇인가요?,Jak miał na imię Twój ulubiony przyjaciel z dzieciństwa?,Qual era o nome do seu amigo de infância favorito?,Tên của người bạn thời thơ ấu yêu thích của bạn là gì?,你最喜欢的儿时朋友叫什么名字？,Какое имя было у вашего друга в детсве?,Як звали вашого найкращого друга дитинства?,Çocukluktaki en sevdiğiniz arkadaşınızın adı neydi?
general.security_question.favorite_color,What is your favorite color?,ما هو اللون المفضل لديك؟,Was ist deine Lieblingsfarbe?,¿Cuál es tu color favorito?,¿Cuál es tu color favorito?,Quelle est votre couleur préférée ?,आपका पसंदीदा रंग कौनसा है?,Apa warna kesukaanmu?,Qual è il tuo colore preferito?,あなたの好きな色は何ですか？,តើពណ៌អ្វីដែលអ្នកចូលចិត្តជាងគេ?,좋아하는 색은 무엇인가요?,Jaki jest twój ulubiony kolor?,Qual é a sua cor favorita?,Màu sắc yêu thích của bạn là gì?,你最喜欢什么颜色？,Какой ваш любимый цвет?,Який ваш улюблений колір?,En sevdiğiniz renk nedir?
general.security_question.name_of_elementary_school,What is the name of your elementary school?,ما هو اسم مدرستك الابتدائية؟,Wie heißt Ihre Grundschule?,¿Cómo se llama tu escuela primaria?,¿Cómo se llama tu escuela primaria?,Quel est le nom de ton école primaire ?,आपके प्राथमिक विद्यालय का नाम क्या है?,Apa nama sekolah dasarmu?,Come si chiama la tua scuola elementare?,あなたの小学校の名前は何ですか?,តើសាលាបឋមសិក្សារបស់អ្នកឈ្មោះអ្វី?,초등학교 이름은 무엇인가요?,Jak nazywa się Twoja szkoła podstawowa?,Qual é o nome da sua escola primária?,Tên trường tiểu học của bạn là gì?,你的小学叫什么名字？,"Какой номер был у школы/гимназии, в которой вы учились?",Як називається ваша школа?,İlkokulunuzun adı nedir?
general.security_question.name_of_your_first_pet,What is the name of your first pet?,ما هو اسم حيوانك الأليف الأول؟,Wie heißt Ihr erstes Haustier?,¿Cómo se llama tu primera mascota?,¿Cómo se llama tu primera mascota?,Quel est le nom de votre premier animal de compagnie ?,आपके पहले पालतू जानवर का नाम क्या है?,Apa nama hewan peliharaan pertamamu?,Come si chiama il tuo primo animale domestico?,あなたの最初のペットの名前は何ですか?,តើសត្វចិញ្ចឹមដំបូងរបស់អ្នកមានឈ្មោះអ្វី?,첫 반려동물 이름은 무엇인가요?,Jak ma na imię Twoje pierwsze zwierzątko?,Qual é o nome do seu primeiro animal de estimação?,Tên thú cưng đầu tiên của bạn là gì?,你的第一只宠物叫什么名字？,Как звали вашего первого питомца?,Як звали вашого першого домашнього улюбленця?,İlk evcil hayvanınızın adı nedir?
general.security_question.name_of_your_first_teacher,What is the name of your first teacher?,ما هو اسم معلمك الأول؟,Wie heißt Ihr erster Lehrer?,¿Cómo se llama tu primer maestro?,¿Cómo se llama tu primer maestro?,Quel est le nom de votre premier professeur ?,आपके प्रथम शिक्षक का नाम क्या है?,Siapa nama guru pertamamu?,Come si chiama il tuo primo insegnante?,最初の先生の名前は何ですか?,តើគ្រូដំបូងរបស់អ្នកឈ្មោះអ្វី?,첫 선생님 이름은 무엇인가요?,Jak ma na imię Twój pierwszy nauczyciel?,Qual é o nome do seu primeiro professor?,Tên của giáo viên đầu tiên của bạn là gì?,你的第一位老师叫什么名字？,Как звали вашего учителя в начальной школе?,Як звали вашого першого вчителя?,İlk öğretmeninizin adı nedir?
general.select_multiple_photo_at_once_with_storypad_pro,Select multiple photos at once with StoryPad Pro,حدد صورًا متعددة في وقت واحد باستخدام StoryPad Pro,Mit StoryPad Pro können Sie mehrere Fotos gleichzeitig auswählen.,Seleccione varias fotos a la vez con StoryPad Pro.,Seleccione varias fotos a la vez con StoryPad Pro.,Sélectionnez plusieurs photos à la fois avec StoryPad Pro,StoryPad Pro के साथ एक साथ कई फ़ोटो चुनें,Pilih beberapa foto sekaligus dengan StoryPad Pro.,Seleziona più foto contemporaneamente con StoryPad Pro,StoryPad Proで複数の写真を一度に選択する,ជ្រើសរើសរូបថតច្រើនក្នុងពេលតែមួយជាមួយ StoryPad Pro,StoryPad Pro로 여러 장의 사진을 한 번에 선택하세요,Wybierz wiele zdjęć jednocześnie dzięki StoryPad Pro,Selecione várias fotos de uma só vez com o StoryPad Pro.,Chọn nhiều ảnh cùng lúc với StoryPad Pro,使用 StoryPad Pro 一次选择多张照片,Выбирайте несколько фотографий одновременно с помощью StoryPad Pro.,Вибір кількох фотографій одночасно за допомогою StoryPad Pro,StoryPad Pro ile aynı anda birden fazla fotoğraf seçin.
general.share_app_sample_text,"I'm using {APP_NAME} to write my stories and diaries—good days, bad days, and everything in between.

Give it a try 📖✨
{URL}","أنا أستخدم {APP_NAME} لكتابة قصصي ومذكراتي — الأيام الجيدة والأيام السيئة وكل شيء بينهما.

جربها 📖✨
{عنوان URL}","Ich verwende {APP_NAME}, um meine Geschichten und Tagebücher zu schreiben – gute Tage, schlechte Tage und alles dazwischen.

Probieren Sie es aus 📖✨
{URL}","Estoy usando {APP_NAME} para escribir mis historias y diarios: días buenos, días malos y todo lo demás.

Pruébalo 📖✨
{URL}","Estoy usando {APP_NAME} para escribir mis historias y diarios: días buenos, días malos y todo lo demás.

Pruébalo 📖✨
{URL}","J'utilise {APP_NAME} pour écrire mes histoires et mes journaux : bons jours, mauvais jours et tout le reste.
Essayez-le 📖✨
{URL}","मैं अपनी कहानियाँ और डायरियाँ लिखने के लिए {APP_NAME} का उपयोग कर रहा हूँ—अच्छे दिन, बुरे दिन और इनके बीच की सभी चीज़ें।

इसे आज़माएं 📖✨
{यूआरएल}","Saya menggunakan {APP_NAME} untuk menulis cerita dan buku harian saya—hari baik, hari buruk, dan segala sesuatu di antaranya.

Cobalah 📖✨
{URL}","Utilizzo {APP_NAME} per scrivere le mie storie e i miei diari: giorni belli, giorni brutti e tutto il resto.

Provatelo 📖✨
{URL}",私は {APP_NAME} を使用して、良い日も悪い日も、その中間のすべてのストーリーや日記を書いています。 ぜひ試してみてください📖✨ {URL},"ខ្ញុំកំពុងប្រើ {APP_NAME} ដើម្បីសរសេររឿង និងកំណត់ហេតុប្រចាំថ្ងៃរបស់ខ្ញុំ—ថ្ងៃល្អ ថ្ងៃអាក្រក់ និងអ្វីៗដែលនៅចន្លោះនោះ។

សាកល្បងប្រើ 📖✨
{URL}","좋은 날도, 힘든 날도, 그리고 그 사이의 모든 순간도
저는 {APP_NAME}으로 이야기를 기록하고 있어요.

당신도 한 번 써보세요 📖✨
{URL}","Używam aplikacji {APP_NAME} do pisania historii i pamiętników – dobrych i złych dni i wszystkiego pomiędzy.

Spróbuj 📖✨
{URL}","Estou usando o {APP_NAME} para escrever minhas histórias e diários: dias bons, dias ruins e tudo mais.

Experimente 📖✨
{URL}","Tôi đang sử dụng {APP_NAME} để viết những câu chuyện và nhật ký của mình—những ngày tốt đẹp, những ngày tồi tệ và mọi thứ ở giữa.

Hãy thử xem 📖✨
{URL}","我正在用 {APP_NAME} 来写我的故事和日记 - 美好的日子，糟糕的日子，以及两者之间的一切。

尝试一下吧📖✨
{URL}","Я пользуюсь {APP_NAME} и пишу в нём истории, веду дневник,  и записываю свои мысли и идеи.

Попробуйте и вы! 📖✨
{URL}","Я використовую {APP_NAME} для своїх розповідей та нотатків - про хороші та погані дні та все, що між ними.\n\nСпробуй! 📖✨\n{URL}","Hikayelerimi ve günlüklerimi yazmak için {APP_NAME} uygulamasını kullanıyorum—iyi günler, kötü günler ve aradaki her şey.

Sen de Dene 📖✨
{URL}"
general.size_extra_large,Extra Large,حجم كبير جدًا,Extra große Größe,Tamaño extra grande,Tamaño extra grande,Taille extra large,अतिरिक्त बड़ा आकार,Ukuran Ekstra Besar,Taglia Extra Large,特大サイズ,ទំហំធំបន្ថែម,초대형 사이즈,Rozmiar bardzo duży,Tamanho extra grande,Kích thước cực lớn,特大,Очень Большой,Екстра-великий,Ekstra Büyük
general.size_large,Large,حجم كبير,Große Größe,Gran tamaño,Gran tamaño,Grande taille,बड़ा आकार,Ukuran besar,Grandi dimensioni,大きいサイズ,ទំហំធំ,대판,Duży rozmiar,Tamanho grande,Kích thước lớn,大,Большой,Великий,Büyük
general.size_normal,Normal,الحجم الطبيعي,Normale Größe,Tamaño normal,Tamaño normal,Taille normale,सामान्य आकार,Ukuran normal,Dimensioni normali,通常サイズ,ទំហំធម្មតា។,일반 사이즈,Normalny rozmiar,Tamanho normal,Kích thước bình thường,常规,Нормальный,Звичайний,Normal
general.size_small,Small,حجم صغير,Kleine Größe,Tamaño pequeño,Tamaño pequeño,Petite taille,छोटे आकार का,Ukuran kecil,Piccole dimensioni,小型,ទំហំតូច,작은 사이즈,Mały rozmiar,Tamanho pequeno,Kích thước nhỏ,小,Маленький,Дрібний,Küçük
general.sound_mixes,Mixes,مزيجات,Mischungen,Mezclas,Mezclas,Mélanges,घोला जा सकता है,Campuran,Miscele,ミックス,ល្បាយ,믹스,Mieszanki,Misturas,Hỗn hợp,混音,Миксы,Змішане,Karışımlar
general.sounds,Sounds,الأصوات,Geräusche,Sonidos,Sonidos,Sons,ध्वनि,Suara,Suoni,音,សំឡេង,소리,Dźwięki,Sons,Âm thanh,音效,Звуки,Звуки,Sesler
general.stickers,Stickers,ملصقات,Aufkleber,Pegatinas,Pegatinas,Autocollants,स्टिकर,Stiker,Adesivi,ステッカー,ស្ទីគ័រ,스티커,Naklejki,Adesivos,Nhãn dán,贴纸,Наклейки,Наклейки,Çıkartmalar
general.stop_in_args,Stop in {TIMER},توقف عند {TIMER},Stoppen Sie in {TIMER},Deténgase en {TIMER},Deténgase en {TIMER},Arrêtez-vous dans {TIMER},{TIMER} में रुकें,Berhenti pukul {TIMER},Interrompi tra {TIMER},{TIMER}で停止,ឈប់នៅម៉ោង {TIMER},{TIMER} 후에 중지,Zatrzymaj się za {TIMER},Pare em {TIMER},Dừng lại sau {TIMER},停在{TIMER},Остановить через {TIMER},Зупинитися об {TIMER},{TIMER} sonra durdur
general.stories,Stories,قصص,Geschichten,Historias,Historias,Histoires,कहानियां,Cerita,Storie,ストーリー,រឿង,스토리,Historie,Histórias,Truyện,故事,Истории,Розповіді,Hikayeler
